"global_step","train-good_full_from_scratch_lr_3e5_beta_3 - _step","train-good_full_from_scratch_lr_3e5_beta_3 - _step__MIN","train-good_full_from_scratch_lr_3e5_beta_3 - _step__MAX","train-good_full_from_scratch_lr_3e5_beta_3 - losses/vf_loss","train-good_full_from_scratch_lr_3e5_beta_3 - losses/vf_loss__MIN","train-good_full_from_scratch_lr_3e5_beta_3 - losses/vf_loss__MAX","train-good_full_dataset_lr_3e6 - _step","train-good_full_dataset_lr_3e6 - _step__MIN","train-good_full_dataset_lr_3e6 - _step__MAX","train-good_full_dataset_lr_3e6 - losses/vf_loss","train-good_full_dataset_lr_3e6 - losses/vf_loss__MIN","train-good_full_dataset_lr_3e6 - losses/vf_loss__MAX","train-good_full_dataset_lr_3e4 - _step","train-good_full_dataset_lr_3e4 - _step__MIN","train-good_full_dataset_lr_3e4 - _step__MAX","train-good_full_dataset_lr_3e4 - losses/vf_loss","train-good_full_dataset_lr_3e4 - losses/vf_loss__MIN","train-good_full_dataset_lr_3e4 - losses/vf_loss__MAX"
"308096","","","","","","","","","","","","","308","308","308","0.027671009302139282","0.027671009302139282","0.027671009302139282"
"309088","","","","","","","","","","","","","309","309","309","0.031487610191106796","0.031487610191106796","0.031487610191106796"
"315144","","","","","","","332","332","332","0.11144290864467621","0.11144290864467621","0.11144290864467621","","","","","",""
"319144","","","","","","","336","336","336","0.10689280927181244","0.10689280927181244","0.10689280927181244","","","","","",""
"320116","","","","","","","","","","","","","320","320","320","0.02826697938144207","0.02826697938144207","0.02826697938144207"
"321104","","","","","","","338","338","338","0.12634815275669098","0.12634815275669098","0.12634815275669098","","","","","",""
"324148","","","","","","","","","","","","","324","324","324","0.03237165883183479","0.03237165883183479","0.03237165883183479"
"327972","","","","","","","345","345","345","0.10200770199298859","0.10200770199298859","0.10200770199298859","","","","","",""
"329644","","","","","","","347","347","347","0.11982078850269318","0.11982078850269318","0.11982078850269318","","","","","",""
"329728","321","321","321","0.018164632841944695","0.018164632841944695","0.018164632841944695","","","","","","","","","","","",""
"332212","","","","","","","","","","","","","332","332","332","0.046073608100414276","0.046073608100414276","0.046073608100414276"
"334976","","","","","","","353","353","353","0.12635985016822815","0.12635985016822815","0.12635985016822815","","","","","",""
"335952","","","","","","","354","354","354","0.13060978055000305","0.13060978055000305","0.13060978055000305","","","","","",""
"336220","","","","","","","","","","","","","336","336","336","0.03326256200671196","0.03326256200671196","0.03326256200671196"
"338256","","","","","","","","","","","","","338","338","338","0.02673415280878544","0.02673415280878544","0.02673415280878544"
"339720","","","","","","","358","358","358","0.13847525417804718","0.13847525417804718","0.13847525417804718","","","","","",""
"343732","","","","","","","362","362","362","0.11462877690792084","0.11462877690792084","0.11462877690792084","","","","","",""
"345092","","","","","","","","","","","","","345","345","345","0.03198988735675812","0.03198988735675812","0.03198988735675812"
"346944","","","","","","","","","","","","","347","347","347","0.042111895978450775","0.042111895978450775","0.042111895978450775"
"352864","","","","","","","","","","","","","353","353","353","0.027407702058553696","0.027407702058553696","0.027407702058553696"
"353872","","","","","","","","","","","","","354","354","354","0.03643923997879028","0.03643923997879028","0.03643923997879028"
"354836","","","","","","","374","374","374","0.1137956753373146","0.1137956753373146","0.1137956753373146","","","","","",""
